iter,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1730,0.6642547249794006,0.0,0.025128033012151718,0.0,10.0,0.009436479769647121,0.09436479769647121,1.0,0.00010463247599545866,0.00010463247599545866,8.649324662331166,0.012286601588129997,0.10627080613245006,500.0,0.0008321505156345665,0.4160752578172833,0.0008649324662331166,54.84733581542969,0.047439241433155546,700000,700000,3010
1731,0.6635477542877197,0.0,0.025127127766609192,0.0,10.0,0.009444492869079113,0.09444492869079113,1.0,0.00010492072033230215,0.00010492072033230215,8.65432716358179,0.012239961884915829,0.10592863462183283,500.0,0.000831656507216394,0.415828253608197,0.0008654327163581791,54.586524963378906,0.04724096457561056,700000,700000,3026
1732,0.6652785539627075,0.0,0.025114908814430237,0.0,10.0,0.009453400038182735,0.09453400038182735,1.0,0.0001051612343871966,0.0001051612343871966,8.659329664832416,0.012344888411462307,0.10689845843042148,500.0,0.0008315891027450562,0.4157945513725281,0.0008659329664832417,55.369625091552734,0.04794638370859319,700000,700000,3016
1733,0.6651090979576111,0.0,0.025121644139289856,0.0,10.0,0.009460251778364182,0.09460251778364182,1.0,0.00010559483780525625,0.00010559483780525625,8.664332166083042,0.012266256846487522,0.10627892375245818,500.0,0.0008317120955325663,0.41585604776628315,0.0008664332166083041,55.706546783447266,0.04826600251572319,700000,700000,3014
1734,0.6645879745483398,0.0,0.02513766847550869,0.0,10.0,0.009467252530157566,0.09467252530157566,1.0,0.00010636789374984801,0.00010636789374984801,8.669334667333667,0.012144590727984905,0.10528552141869855,500.0,0.0008325554663315415,0.41627773316577077,0.0008669334667333668,55.651123046875,0.048245821030632505,700000,700000,3003
1735,0.6651084423065186,0.0,0.0251475777477026,0.0,10.0,0.0094735287129879,0.094735287129879,1.0,0.00010714376549003646,0.00010714376549003646,8.674337168584293,0.01216534897685051,0.10552633879869328,500.0,0.000832831603474915,0.4164158017374575,0.0008674337168584292,55.708988189697266,0.04832385468781143,700000,700000,2991
1736,0.6660189032554626,0.0,0.02513490617275238,0.0,10.0,0.009480851702392101,0.09480851702392101,1.0,0.00010743544407887384,0.00010743544407887384,8.679339669834917,0.012270945124328136,0.10650370080394855,500.0,0.000832549761980772,0.416274880990386,0.0008679339669834917,55.67748260498047,0.048324378348995056,700000,700000,3008
1737,0.6663259863853455,0.0,0.0251188725233078,0.0,10.0,0.00948773231357336,0.0948773231357336,1.0,0.00010724094317993149,0.00010724094317993149,8.684342171085543,0.012233524583280087,0.10624011343959094,500.0,0.0008324080845341086,0.4162040422670543,0.0008684342171085543,56.30509948730469,0.04889727499247671,700000,700000,2998
1738,0.6671580076217651,0.0,0.025128643959760666,0.0,10.0,0.009491529315710068,0.09491529315710068,1.0,0.00010699807899072766,0.00010699807899072766,8.689344672336167,0.012330878525972366,0.10714725362488244,500.0,0.0008321534842252731,0.41607674211263657,0.0008689344672336168,56.2892951965332,0.04891170873255537,700000,700000,2975
1739,0.6655744314193726,0.0,0.025152157992124557,0.0,10.0,0.009494946338236332,0.09494946338236332,1.0,0.00010665851004887372,0.00010665851004887372,8.694347173586793,0.012157958000898361,0.10570550778169761,500.0,0.0008324673981405795,0.41623369907028973,0.0008694347173586794,55.87433624267578,0.048579087738754634,700000,700000,3006
1740,0.6661994457244873,0.0,0.025149038061499596,0.0,10.0,0.009500235319137573,0.09500235319137573,1.0,0.00010646471491781995,0.00010646471491781995,8.69934967483742,0.012259750626981258,0.10665185763041726,500.0,0.0008327815448865294,0.4163907724432647,0.0008699349674837419,55.23176193237305,0.04804804102070872,700000,700000,2978
1741,0.6659719347953796,0.0,0.025121647864580154,0.0,10.0,0.00950708705931902,0.0950708705931902,1.0,0.0001056913097272627,0.0001056913097272627,8.704352176088044,0.01219656690955162,0.10616321371995907,500.0,0.0008331261342391372,0.4165630671195686,0.0008704352176088044,55.22418975830078,0.048069079629536444,700000,700000,2995
1742,0.6655956506729126,0.0,0.025107644498348236,0.0,10.0,0.009510982781648636,0.09510982781648636,1.0,0.00010463247599545866,0.00010463247599545866,8.70935467733867,0.012166868895292282,0.10596557652178021,500.0,0.0008333605946972966,0.4166802973486483,0.000870935467733867,54.809242248535156,0.04773531303386679,700000,700000,2994
1743,0.6659352779388428,0.0,0.02512943372130394,0.0,10.0,0.009512574411928654,0.09512574411928654,1.0,0.0001042966905515641,0.0001042966905515641,8.714357178589294,0.012237885035574436,0.10664530131050859,500.0,0.000832989695481956,0.416494847740978,0.0008714357178589295,54.582427978515625,0.04756507730794108,700000,700000,2997
